Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,31.45,32.0,30.0,32.0,2712,ARS
2021-07-05,32.0,33.7,31.35,32.9,48184,ARS
2021-07-06,32.9,32.9,31.7,32.25,2702,ARS
2021-07-07,32.0,32.45,31.35,32.25,4539,ARS
2021-07-08,31.95,32.25,31.5,32.25,2476,ARS
2021-07-12,32.25,32.5,31.0,32.1,5466,ARS
2021-07-13,32.0,32.3,31.0,31.0,28450,ARS
2021-07-14,30.9,31.9,30.2,31.9,82022,ARS
2021-07-15,31.4,31.4,30.7,30.9,9734,ARS
2021-07-16,30.9,30.9,30.5,30.6,21787,ARS
2021-07-19,30.6,31.05,30.3,30.4,6715,ARS
2021-07-20,30.5,30.75,30.2,30.4,10189,ARS
2021-07-21,31.4,31.4,30.3,30.5,20526,ARS
2021-07-22,30.6,30.9,30.25,30.25,3036,ARS
2021-07-23,30.05,31.0,30.05,30.5,2268,ARS
2021-07-26,30.5,31.0,30.0,30.5,8014,ARS
2021-07-27,31.0,31.0,30.0,30.6,3803,ARS
2021-07-28,29.6,30.95,29.6,29.9,9192,ARS
2021-07-29,30.0,30.6,29.95,30.35,28386,ARS
2021-07-30,30.3,30.3,29.6,30.1,12827,ARS
2021-08-02,30.0,30.2,30.0,30.2,6006,ARS
2021-08-03,30.5,30.5,29.9,30.5,20073,ARS
2021-08-04,30.7,30.7,30.0,30.45,1080,ARS
2021-08-05,30.0,30.7,29.5,30.0,9673,ARS
2021-08-06,30.0,30.4,29.6,30.0,25322,ARS
2021-08-09,30.2,30.2,29.25,29.85,2694,ARS
2021-08-10,29.3,30.5,29.3,30.2,9066,ARS
2021-08-11,30.3,30.8,30.3,30.5,11422,ARS
2021-08-12,31.1,31.45,29.7,31.2,8293,ARS
2021-08-13,31.5,31.5,30.8,31.45,9236,ARS
2021-08-17,31.45,31.45,30.5,30.95,550,ARS
2021-08-18,30.5,32.4,30.05,30.6,7908,ARS
2021-08-19,30.5,30.8,30.0,30.8,6256,ARS
2021-08-20,30.0,30.95,30.0,30.95,923,ARS
