Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,25.5,25.6,24.25,25.5,73573,ARS
2021-07-05,26.0,27.9,25.5,27.9,306858,ARS
2021-07-06,28.0,28.2,26.75,27.5,117542,ARS
2021-07-07,27.5,27.5,25.55,26.9,56435,ARS
2021-07-08,26.8,27.3,25.85,26.9,183499,ARS
2021-07-12,27.05,28.1,26.25,27.85,88147,ARS
2021-07-13,28.0,28.0,27.2,27.7,41275,ARS
2021-07-14,27.5,28.8,27.45,28.2,259529,ARS
2021-07-15,28.5,29.0,27.7,28.5,130085,ARS
2021-07-16,28.5,28.6,27.5,27.55,55374,ARS
2021-07-19,26.5,27.25,25.85,26.25,123986,ARS
2021-07-20,26.2,27.45,26.0,26.3,49173,ARS
2021-07-21,26.5,27.4,26.1,26.6,143258,ARS
2021-07-22,27.0,27.2,25.9,26.6,243594,ARS
2021-07-23,26.0,27.0,25.65,26.25,194030,ARS
2021-07-26,25.9,26.9,25.9,26.9,120712,ARS
2021-07-27,27.15,27.25,26.55,26.9,45104,ARS
2021-07-28,27.7,27.7,26.4,26.6,50939,ARS
2021-07-29,26.6,26.95,26.0,26.2,97657,ARS
2021-07-30,26.5,26.6,25.25,25.7,111934,ARS
2021-08-02,25.5,25.65,25.0,25.5,158664,ARS
2021-08-03,25.5,26.35,25.0,26.35,47561,ARS
2021-08-04,26.5,26.65,26.0,26.5,32447,ARS
2021-08-05,26.6,26.8,25.65,26.5,28821,ARS
2021-08-06,26.0,26.75,25.65,26.35,35713,ARS
2021-08-09,26.7,27.3,25.7,27.3,111652,ARS
2021-08-10,27.3,27.35,26.45,27.3,26887,ARS
2021-08-11,27.3,29.3,27.0,29.3,364946,ARS
2021-08-12,29.3,31.7,29.2,31.2,398116,ARS
2021-08-13,31.2,33.9,30.65,33.45,442410,ARS
2021-08-17,33.45,34.2,32.5,32.75,158228,ARS
2021-08-18,32.5,33.5,31.85,32.9,129689,ARS
2021-08-19,32.9,33.1,32.3,33.0,57073,ARS
2021-08-20,33.0,33.8,32.1,33.2,64775,ARS
