Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,41.5,41.5,39.0,40.95,20392,ARS
2021-07-05,40.95,40.95,39.7,40.0,18257,ARS
2021-07-06,40.0,40.9,39.0,40.3,5323,ARS
2021-07-07,41.0,41.0,40.0,40.1,5115,ARS
2021-07-08,40.3,40.3,40.0,40.0,1453,ARS
2021-07-12,41.3,41.3,39.1,40.2,4410,ARS
2021-07-13,41.0,41.3,40.0,40.25,19973,ARS
2021-07-14,40.5,40.5,39.65,40.2,16508,ARS
2021-07-15,39.9,40.8,39.65,40.5,21910,ARS
2021-07-16,40.1,40.5,39.5,39.5,9551,ARS
2021-07-19,39.5,40.05,38.75,40.0,8318,ARS
2021-07-20,40.4,40.4,39.2,40.1,3456,ARS
2021-07-21,40.4,40.9,40.1,40.55,2810,ARS
2021-07-22,40.75,40.75,40.0,40.0,3432,ARS
2021-07-23,40.6,40.6,39.7,40.25,2626,ARS
2021-07-26,40.75,40.75,39.6,40.2,5128,ARS
2021-07-27,40.15,40.15,39.55,39.9,3994,ARS
2021-07-28,40.0,40.0,39.45,39.65,3606,ARS
2021-07-29,39.4,39.9,39.1,39.5,6928,ARS
2021-07-30,39.15,40.0,38.5,38.9,18205,ARS
2021-08-02,38.5,39.6,38.5,39.2,5770,ARS
2021-08-03,38.6,39.5,38.6,39.35,2797,ARS
2021-08-04,38.7,39.4,38.4,38.95,4531,ARS
2021-08-05,39.0,39.4,38.25,38.6,5762,ARS
2021-08-06,39.25,39.25,37.0,38.85,30704,ARS
2021-08-09,38.85,38.85,37.5,38.35,11654,ARS
2021-08-10,38.3,38.9,37.65,38.9,14548,ARS
2021-08-11,38.9,39.0,38.1,38.9,4686,ARS
2021-08-12,39.2,39.2,38.4,38.95,11263,ARS
2021-08-13,39.2,39.2,38.0,39.0,3549,ARS
2021-08-17,39.35,39.35,37.95,38.8,2374,ARS
2021-08-18,38.9,38.9,38.2,38.4,1284,ARS
2021-08-19,38.3,39.0,37.0,37.85,7602,ARS
2021-08-20,38.7,38.8,36.9,37.6,10990,ARS
