Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,12.95,12.95,12.4,12.5,31184,ARS
2021-07-05,13.0,13.0,12.4,12.7,109660,ARS
2021-07-06,12.5,13.0,12.5,12.95,34945,ARS
2021-07-07,12.95,13.0,12.75,12.95,8656,ARS
2021-07-08,12.85,12.9,12.55,12.8,11188,ARS
2021-07-12,13.0,13.3,12.65,12.95,5552,ARS
2021-07-13,12.8,13.6,12.8,13.6,125356,ARS
2021-07-14,13.5,13.75,13.0,13.65,34390,ARS
2021-07-15,13.8,13.8,13.35,13.6,14494,ARS
2021-07-16,13.65,13.7,13.5,13.6,32999,ARS
2021-07-19,13.7,13.7,12.8,13.3,16153,ARS
2021-07-20,13.2,13.3,12.9,13.2,30651,ARS
2021-07-21,12.6,13.2,12.6,12.85,55937,ARS
2021-07-22,12.85,13.05,12.5,13.0,11571,ARS
2021-07-23,13.0,13.0,12.65,13.0,18442,ARS
2021-07-26,13.0,13.2,12.55,12.8,47534,ARS
2021-07-27,12.5,13.1,12.3,12.8,9073,ARS
2021-07-28,12.35,13.2,12.35,13.2,49492,ARS
2021-07-29,13.0,13.45,12.5,13.1,18699,ARS
2021-07-30,13.2,13.2,13.0,13.15,28108,ARS
2021-08-02,13.1,13.45,13.05,13.15,5452,ARS
2021-08-03,13.15,13.2,13.1,13.1,2107,ARS
2021-08-04,13.1,13.2,12.4,13.0,20360,ARS
2021-08-05,13.5,13.5,13.0,13.25,12999,ARS
2021-08-06,13.3,13.3,12.9,13.15,7028,ARS
2021-08-09,13.3,13.3,12.8,12.8,9963,ARS
2021-08-10,12.6,13.2,12.6,13.15,37788,ARS
2021-08-11,13.15,13.3,12.85,13.0,5662,ARS
2021-08-12,13.05,13.15,12.8,13.0,21564,ARS
2021-08-13,12.7,13.1,12.7,13.1,32848,ARS
2021-08-17,13.45,13.45,12.8,12.9,23617,ARS
2021-08-18,12.9,13.1,12.7,12.7,21552,ARS
2021-08-19,12.9,12.95,12.3,12.6,8642,ARS
2021-08-20,12.3,12.6,12.2,12.5,56519,ARS
