Date,Open,High,Low,Adj Close,Volume,Currency
2021-07-02,122.75,122.75,118.5,119.25,14714,ARS
2021-07-05,122.0,123.0,120.0,122.5,19893,ARS
2021-07-06,123.25,124.5,122.25,123.0,13616,ARS
2021-07-07,123.0,124.0,122.0,123.0,14304,ARS
2021-07-08,123.0,124.0,121.25,122.5,6505,ARS
2021-07-12,124.75,125.0,118.5,120.0,29462,ARS
2021-07-13,124.0,124.0,119.25,119.75,21760,ARS
2021-07-14,123.75,123.75,119.0,119.5,8051,ARS
2021-07-15,119.0,121.0,119.0,120.0,9050,ARS
2021-07-16,121.0,121.0,117.25,118.0,14457,ARS
2021-07-19,117.5,119.0,115.5,117.0,6648,ARS
2021-07-20,117.0,119.5,117.0,118.5,6654,ARS
2021-07-21,122.0,123.0,118.5,122.0,10551,ARS
2021-07-22,120.0,122.5,118.5,121.75,10326,ARS
2021-07-23,122.75,122.75,119.25,121.0,10471,ARS
2021-07-26,121.0,123.25,120.0,120.25,12622,ARS
2021-07-27,120.25,123.0,118.5,119.5,4096,ARS
2021-07-28,118.75,120.0,118.75,119.25,17349,ARS
2021-07-29,119.0,120.75,118.0,118.75,13346,ARS
2021-07-30,120.75,120.75,117.5,117.75,10897,ARS
2021-08-02,120.0,120.5,118.25,119.75,27792,ARS
2021-08-03,121.75,121.75,118.5,120.0,8518,ARS
2021-08-04,122.5,122.5,118.25,122.0,58216,ARS
2021-08-05,123.5,128.0,122.0,128.0,62807,ARS
2021-08-06,128.5,128.5,123.5,125.75,42378,ARS
2021-08-09,130.75,130.75,122.0,123.5,30674,ARS
2021-08-10,124.0,125.0,120.25,122.75,16518,ARS
2021-08-11,121.0,125.75,120.0,122.5,18918,ARS
2021-08-12,120.25,124.0,120.25,123.0,16098,ARS
2021-08-13,123.0,127.5,120.75,124.5,14115,ARS
2021-08-17,125.0,125.5,122.0,123.75,5011,ARS
2021-08-18,124.75,125.5,122.75,123.0,7640,ARS
2021-08-19,124.0,126.5,122.0,123.5,11687,ARS
2021-08-20,125.0,126.0,123.0,124.5,11797,ARS
